Region,Subregion,nuts_level,TIFF_per_ha,area_ha,dominant_product,year,TIFF_document_title,TIFF_source,area_source,notes
England,"Herefordshire, Worcestershire and Warwickshire",2,577,"444,662.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Shropshire and Staffordshire,2,844,"473,462.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Midlands,2,253,"14,259.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Anglia,2,528,"975,617.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Bedfordshire and Hertfordshire,2,288,"173,262.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Essex,2,283,"248,666.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Inner London - West,2,442,"10,935.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Berkshire, Buckinghamshire and Oxfordshire",2,270,"384,484.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Surrey, East and West Sussex",2,419,"278,495.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Hampshire and Isle of Wight,2,363,"235,173.00",Pigs & Poultry,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Kent,2,923,"229,583.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Gloucestershire, Wiltshire and Bath/Bristol area",2,251,"542,332.00",Combinables & Sugar Beet,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Dorset and Somerset,2,260,"471,513.00",Dairy,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cornwall and Isles of Scilly,2,1068,"263,253.00","Veg, Hort & Potatoes",2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Devon,2,243,"513,683.00",Dairy,2020,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
