Vintage,Project,Account,Standard,Project Type,Verifier,Units,Measurement,Type,Additional Certification,Details
2074 - 2084,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,25,WCU RESERVE,PIU RESERVE,,View
2034 - 2044,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,760,WCU,PIU,,View
2034 - 2044,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,190,WCU RESERVE,PIU RESERVE,,View
2104 - 2114,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,66,WCU,PIU,,View
2104 - 2114,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,17,WCU RESERVE,PIU RESERVE,,View
2064 - 2074,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,139,WCU,PIU,,View
2064 - 2074,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,35,WCU RESERVE,PIU RESERVE,,View
2024 - 2034,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1162,WCU,PIU,,View
2024 - 2034,ABCOLTD 18-20 (Pantpoeth GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,290,WCU RESERVE,PIU RESERVE,,View
2054 - 2064,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,421,WCU,PIU,,View
2054 - 2064,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,105,WCU RESERVE,PIU RESERVE,,View
2084 - 2094,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,173,WCU,PIU,,View
2084 - 2094,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,43,WCU RESERVE,PIU RESERVE,,View
2094 - 2104,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,159,WCU,PIU,,View
2094 - 2104,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,39,WCU RESERVE,PIU RESERVE,,View
2114 - 2119,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,56,WCU,PIU,,View
2114 - 2119,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,14,WCU RESERVE,PIU RESERVE,,View
2019 - 2024,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,107,WCU,PIU,,View
2019 - 2024,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,27,WCU RESERVE,PIU RESERVE,,View
2044 - 2054,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,777,WCU,PIU,,View
2044 - 2054,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,195,WCU RESERVE,PIU RESERVE,,View
2074 - 2084,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,200,WCU,PIU,,View
2074 - 2084,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,51,WCU RESERVE,PIU RESERVE,,View
2034 - 2044,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1719,WCU,PIU,,View
2034 - 2044,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,430,WCU RESERVE,PIU RESERVE,,View
2104 - 2114,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,140,WCU,PIU,,View
2104 - 2114,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,36,WCU RESERVE,PIU RESERVE,,View
2064 - 2074,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,255,WCU,PIU,,View
2064 - 2074,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,63,WCU RESERVE,PIU RESERVE,,View
2024 - 2034,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1771,WCU,PIU,,View
2024 - 2034,ABCOLTD 18-20 (Brynscolfa & Cefn Pawl GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,442,WCU RESERVE,PIU RESERVE,,View
2054 - 2064,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,269,WCU,PIU,,View
2054 - 2064,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,67,WCU RESERVE,PIU RESERVE,,View
2084 - 2094,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,63,WCU,PIU,,View
2084 - 2094,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,16,WCU RESERVE,PIU RESERVE,,View
2094 - 2104,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,35,WCU,PIU,,View
2094 - 2104,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,9,WCU RESERVE,PIU RESERVE,,View
2114 - 2119,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,9,WCU,PIU,,View
2114 - 2119,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,2,WCU RESERVE,PIU RESERVE,,View
2019 - 2024,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,244,WCU,PIU,,View
2019 - 2024,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,61,WCU RESERVE,PIU RESERVE,,View
2044 - 2054,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,488,WCU,PIU,,View
2044 - 2054,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,122,WCU RESERVE,PIU RESERVE,,View
2074 - 2084,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,134,WCU,PIU,,View
2074 - 2084,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,33,WCU RESERVE,PIU RESERVE,,View
2034 - 2044,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1130,WCU,PIU,,View
2034 - 2044,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,283,WCU RESERVE,PIU RESERVE,,View
2104 - 2114,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,14,WCU,PIU,,View
2104 - 2114,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,3,WCU RESERVE,PIU RESERVE,,View
2064 - 2074,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,183,WCU,PIU,,View
2064 - 2074,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,46,WCU RESERVE,PIU RESERVE,,View
2024 - 2034,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,2512,WCU,PIU,,View
2024 - 2034,ABCOLTD 18-20 (Dolaujenkin GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,628,WCU RESERVE,PIU RESERVE,,View
2054 - 2064,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,327,WCU,PIU,,View
2054 - 2064,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,81,WCU RESERVE,PIU RESERVE,,View
2084 - 2094,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,100,WCU,PIU,,View
2084 - 2094,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,25,WCU RESERVE,PIU RESERVE,,View
2094 - 2104,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,78,WCU,PIU,,View
2094 - 2104,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,20,WCU RESERVE,PIU RESERVE,,View
2114 - 2119,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,5,WCU,PIU,,View
2114 - 2119,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,2,WCU RESERVE,PIU RESERVE,,View
2019 - 2024,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,145,WCU,PIU,,View
2019 - 2024,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,36,WCU RESERVE,PIU RESERVE,,View
2044 - 2054,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,876,WCU,PIU,,View
2044 - 2054,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,219,WCU RESERVE,PIU RESERVE,,View
2074 - 2084,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,122,WCU,PIU,,View
2074 - 2084,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,30,WCU RESERVE,PIU RESERVE,,View
2034 - 2044,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1401,WCU,PIU,,View
2034 - 2044,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,351,WCU RESERVE,PIU RESERVE,,View
2104 - 2114,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,64,WCU,PIU,,View
2104 - 2114,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,15,WCU RESERVE,PIU RESERVE,,View
2064 - 2074,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,192,WCU,PIU,,View
2064 - 2074,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,49,WCU RESERVE,PIU RESERVE,,View
2024 - 2034,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,2549,WCU,PIU,,View
2024 - 2034,ABCOLTD 18-20 (Llanover GWC),Andrew Bronwin & Co Ltd,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,637,WCU RESERVE,PIU RESERVE,,View
2033 - 2043,Annandale and Lochwood,Annandale & Lochwood Estates LLP,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,5899,WCU,PIU,,View
2033 - 2043,Annandale and Lochwood,Annandale & Lochwood Estates LLP,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1474,WCU RESERVE,PIU RESERVE,,View
2023 - 2033,Annandale and Lochwood,Annandale & Lochwood Estates LLP,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,6416,WCU,PIU,,View
2023 - 2033,Annandale and Lochwood,Annandale & Lochwood Estates LLP,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,1604,WCU RESERVE,PIU RESERVE,,View
2043 - 2053,Annandale and Lochwood,Annandale & Lochwood Estates LLP,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,885,WCU,PIU,,View
2043 - 2053,Annandale and Lochwood,Annandale & Lochwood Estates LLP,UK Woodland Carbon Code,Mixed mainly thin and clearfell,Soil Association Certification Ltd,221,WCU RESERVE,PIU RESERVE,,View
2049 - 2059,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,5428,WCU,PIU,,View
2049 - 2059,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,1357,WCU RESERVE,PIU RESERVE,,View
2029 - 2039,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,4544,WCU,PIU,,View
2029 - 2039,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,1136,WCU RESERVE,PIU RESERVE,,View
2059 - 2069,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,4157,WCU,PIU,,View
2059 - 2069,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,1039,WCU RESERVE,PIU RESERVE,,View
2069 - 2079,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,3170,WCU,PIU,,View
2069 - 2079,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,792,WCU RESERVE,PIU RESERVE,,View
2079 - 2089,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,2041,WCU,PIU,,View
2079 - 2089,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,511,WCU RESERVE,PIU RESERVE,,View
2039 - 2049,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,8158,WCU,PIU,,View
2039 - 2049,Spott Wood,Balnaboth Estate,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,2040,WCU RESERVE,PIU RESERVE,,View
2059 - 2069,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,511,WCU,PIU,,View
2059 - 2069,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,104,WCU RESERVE,PIU RESERVE,,View
2019 - 2029,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,281,WCU,PIU,,View
2019 - 2029,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,58,WCU RESERVE,PIU,,View
2069 - 2079,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,298,WCU,PIU,,View
2069 - 2079,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,62,WCU RESERVE,PIU RESERVE,,View
2029 - 2039,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,1339,WCU,PIU,,View
2029 - 2039,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,274,WCU RESERVE,PIU RESERVE,,View
2079 - 2089,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,229,WCU,PIU,,View
2079 - 2089,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,46,WCU RESERVE,PIU RESERVE,,View
2039 - 2049,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,1410,WCU,PIU,,View
2039 - 2049,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,289,WCU RESERVE,PIU RESERVE,,View
2049 - 2059,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,903,WCU,PIU,,View
2049 - 2059,East Mains - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,185,WCU RESERVE,PIU RESERVE,,View
2079 - 2089,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,715,WCU,PIU,,View
2079 - 2089,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,178,WCU RESERVE,PIU RESERVE,,View
2039 - 2049,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,3854,WCU,PIU,,View
2039 - 2049,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,964,WCU RESERVE,PIU RESERVE,,View
2069 - 2079,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,954,WCU,PIU,,View
2069 - 2079,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,239,WCU RESERVE,PIU RESERVE,,View
2029 - 2039,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,5501,WCU,PIU,,View
2029 - 2039,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,1375,WCU RESERVE,PIU RESERVE,,View
2059 - 2069,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,1546,WCU,PIU,,View
2059 - 2069,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,386,WCU RESERVE,PIU RESERVE,,View
2019 - 2029,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,688,WCU,PIU,,View
2019 - 2029,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,172,WCU RESERVE,PIU RESERVE,,View
2049 - 2059,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,2215,WCU,PIU,,View
2049 - 2059,Kaimknowe - Gleneagles Estate,Bell Ingram Limited,UK Woodland Carbon Code,Continuous cover system,Soil Association Certification Ltd,554,WCU RESERVE,PIU RESERVE,,View
2030 - 2040,Kinpurney Farm Woodland Creation,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,4614,WCU,PIU,,View
2030 - 2040,Kinpurney Farm Woodland Creation,Bell Ingram Limited,UK Woodland Carbon Code,No thinning or clearfell,Soil Association Certification Ltd,1154,WCU RESERVE,PIU RESERVE,,View
